time,seconds_elapsed,dBFS
1701899848403000000,16.017,-21.892017364501953
1701899848501000000,16.115,-25.74871063232422
1701899848601000000,16.215,-17.915374755859375
1701899848701000000,16.315,-20.95254898071289
1701899848817000000,16.431,-25.037353515625
1701899848917000000,16.531,-20.921167373657227
1701899849017000000,16.631,-22.187583923339844
1701899849117000000,16.731,-22.32562255859375
1701899849217000000,16.831,-24.971879959106445
1701899849333000000,16.947,-25.860239028930664
1701899849433000000,17.047,-23.671310424804688
1701899849533000000,17.147,-23.00270652770996
1701899849633000000,17.247,-25.685611724853516
1701899849749000000,17.363,-23.917137145996094
1701899849857000000,17.471,-23.9266414642334
1701899849966000000,17.580000244140624,-25.303119659423828
1701899850082000000,17.695999755859376,-23.038646697998047
1701899850182000000,17.796000244140625,-24.899311065673828
1701899850282000000,17.895999755859375,-21.82573699951172
1701899850382000000,17.996000244140625,-23.333375930786133
1701899850498000000,18.111999755859376,-27.373811721801758
1701899850598000000,18.212000244140626,-26.520294189453125
1701899850698000000,18.311999755859375,-25.524309158325195
1701899850798000000,18.412000244140625,-28.255165100097656
1701899850898000000,18.511999755859375,-29.093997955322266
1701899851014000000,18.628000244140626,-30.732358932495117
1701899851114000000,18.727999755859376,-26.521480560302734
1701899851214000000,18.828000244140625,-23.240724563598633
1701899851330000000,18.943999755859377,-26.64643096923828
1701899851430000000,19.044000244140626,-21.280466079711914
1701899851530000000,19.143999755859376,-23.206684112548828
1701899851630000000,19.244000244140626,-23.220300674438477
1701899851746000000,19.359999755859373,-19.225051879882812
1701899851846000000,19.460000244140623,-22.14612579345703
1701899851946000000,19.559999755859376,-23.03291130065918
1701899852046000000,19.660000244140626,-26.014934539794922
1701899852163000000,19.777,-20.60102653503418
1701899852262000000,19.876000244140624,-22.62999725341797
1701899852362000000,19.975999755859377,-26.176963806152344
1701899852462000000,20.076000244140626,-28.68869400024414
1701899852562000000,20.175999755859376,-20.29738426208496
1701899852678000000,20.292000244140624,-24.601457595825195
1701899852778000000,20.391999755859374,-26.256940841674805
1701899852878000000,20.492000244140623,-24.48148536682129
1701899852978000000,20.591999755859376,-27.01654815673828
1701899853094000000,20.708000244140624,-30.698137283325195
1701899853194000000,20.807999755859374,-33.26517105102539
1701899853294000000,20.908000244140624,-35.01974105834961
1701899853394000000,21.007999755859377,-36.973114013671875
1701899853494000000,21.108000244140626,-36.300960540771484
1701899853610000000,21.223999755859374,-35.185787200927734
1701899853710000000,21.324000244140624,-36.989200592041016
1701899853810000000,21.423999755859374,-32.45298767089844
1701899853910000000,21.524000244140623,-34.497657775878906
1701899854026000000,21.639999755859375,-19.283266067504883
1701899854126000000,21.740000244140624,-20.081418991088867
1701899854226000000,21.839999755859374,-18.66254997253418
1701899854326000000,21.940000244140624,-21.506860733032227
1701899854442000000,22.055999755859375,-22.4034423828125
1701899854542000000,22.156000244140625,-22.56417465209961
1701899854642000000,22.255999755859374,-24.48499870300293
1701899854742000000,22.356000244140624,-23.82575225830078
1701899854842000000,22.455999755859374,-23.64613914489746
1701899854958000000,22.572000244140625,-24.901926040649414
1701899855058000000,22.671999755859375,-27.2856502532959
1701899855158000000,22.772000244140624,-23.297916412353516
1701899855258000000,22.871999755859374,-23.156612396240234
1701899855374000000,22.988000244140625,-24.23709487915039
1701899855474000000,23.087999755859375,-26.719688415527344
1701899855574000000,23.188000244140625,-26.29061508178711
1701899855674000000,23.287999755859374,-28.134511947631836
1701899855790000000,23.404000244140626,-25.574771881103516
1701899855890000000,23.503999755859375,-20.4351806640625
1701899855990000000,23.604000244140625,-23.904388427734375
1701899856090000000,23.703999755859375,-24.939945220947266
1701899856190000000,23.804000244140624,-26.44620132446289
1701899856306000000,23.919999755859376,-24.122997283935547
1701899856406000000,24.020000244140626,-26.43968963623047
1701899856506000000,24.119999755859375,-27.85186195373535
1701899856606000000,24.220000244140625,-28.24859619140625
1701899856722000000,24.335999755859376,-29.966232299804688
1701899856822000000,24.436000244140626,-28.889402389526367
1701899856922000000,24.535999755859375,-25.631528854370117
1701899857022000000,24.636000244140625,-25.200050354003906
1701899857122000000,24.735999755859375,-27.05687141418457
1701899857222000000,24.836000244140624,-27.61766242980957
1701899857338000000,24.951999755859376,-29.909626007080078
1701899857438000000,25.052000244140626,-33.50776672363281
1701899857538000000,25.151999755859375,-35.85843276977539
1701899857638000000,25.252000244140625,-36.88957977294922
1701899857738000000,25.351999755859374,-36.35836410522461
1701899857854000000,25.468000244140626,-21.409080505371094
1701899857954000000,25.567999755859375,-21.18242645263672
1701899858054000000,25.668000244140625,-20.222288131713867
1701899858154000000,25.767999755859375,-20.85002899169922
1701899858271000000,25.885,-22.154550552368164
1701899858370000000,25.983999755859376,-22.213869094848633
1701899858470000000,26.084000244140626,-23.023895263671875
1701899858570000000,26.183999755859375,-22.686447143554688
1701899858670000000,26.284000244140625,-24.33910369873047
1701899858786000000,26.399999755859376,-22.863231658935547
1701899858886000000,26.500000244140626,-24.74801254272461
1701899858986000000,26.599999755859375,-26.991514205932617
1701899859086000000,26.700000244140625,-22.270883560180664
1701899859186000000,26.799999755859375,-25.65403938293457
1701899859303000000,26.917,-22.68418312072754
1701899859402000000,27.015999755859376,-20.938358306884766
1701899859502000000,27.116000244140626,-19.885225296020508
1701899859602000000,27.215999755859375,-19.246253967285156
1701899859702000000,27.316000244140625,-19.058813095092773
1701899859818000000,27.431999755859376,-23.199201583862305
1701899859918000000,27.532000244140626,-25.683347702026367
1701899860018000000,27.631999755859376,-29.238191604614258
1701899860118000000,27.732000244140625,-21.904972076416016
1701899860234000000,27.847999755859377,-24.044334411621094
1701899860334000000,27.948000244140626,-26.00493049621582
1701899860434000000,28.047999755859376,-27.44791030883789
1701899860534000000,28.148000244140626,-28.007341384887695
1701899860650000000,28.263999755859373,-27.411455154418945
1701899860750000000,28.364000244140627,-31.13511848449707
1701899860850000000,28.463999755859376,-26.382606506347656
1701899860950000000,28.564000244140626,-28.63115692138672
1701899861050000000,28.663999755859376,-20.024765014648438
1701899861166000000,28.780000244140624,-21.945308685302734
1701899861266000000,28.879999755859377,-23.016069412231445
1701899861366000000,28.980000244140626,-24.945180892944336
1701899861466000000,29.079999755859376,-28.081438064575195
1701899861566000000,29.180000244140626,-28.040752410888672
1701899861682000000,29.295999755859373,-19.962507247924805
1701899861782000000,29.396000244140627,-22.58501625061035
1701899861882000000,29.495999755859376,-25.014734268188477
1701899861982000000,29.596000244140626,-26.926624298095703
1701899862098000000,29.711999755859374,-25.604839324951172
1701899862198000000,29.812000244140624,-28.00826072692871
1701899862298000000,29.911999755859377,-24.268186569213867
1701899862415000000,30.029,-23.527650833129883
1701899862514000000,30.127999755859374,-25.6729736328125
1701899862614000000,30.228000244140624,-27.75841522216797
1701899862714000000,30.327999755859373,-27.015911102294922
1701899862814000000,30.428000244140627,-30.37381935119629
1701899862930000000,30.543999755859375,-27.179336547851562
1701899863030000000,30.644000244140624,-25.293987274169922
1701899863130000000,30.743999755859374,-26.6292724609375
1701899863230000000,30.844000244140624,-28.216514587402344
1701899863346000000,30.959999755859375,-24.15860366821289
1701899863447000000,31.061,-26.823530197143555
1701899863546000000,31.159999755859374,-28.818689346313477
1701899863646000000,31.260000244140624,-29.777647018432617
1701899863746000000,31.359999755859373,-32.3585090637207
1701899863862000000,31.476000244140625,-33.706634521484375
1701899863962000000,31.575999755859375,-34.08601379394531
1701899864062000000,31.676000244140624,-35.80557632446289
1701899864162000000,31.775999755859374,-22.8522891998291
1701899864279000000,31.893,-17.876113891601562
1701899864378000000,31.991999755859375,-18.25641632080078
1701899864478000000,32.09200024414063,-18.429880142211914
1701899864578000000,32.19199975585938,-21.460575103759766
1701899864678000000,32.292000244140624,-23.08063316345215
1701899864794000000,32.40799975585937,-24.92010498046875
1701899864894000000,32.508000244140625,-24.317256927490234
1701899864994000000,32.607999755859375,-24.608266830444336
1701899865094000000,32.70800024414063,-23.00066566467285
1701899865211000000,32.825,-25.08113670349121
1701899865310000000,32.92400024414062,-25.351219177246094
1701899865410000000,33.02399975585938,-27.402557373046875
